,EVR
Price/Earnings (TTM),7.51477
Price/Sales (TTM),1.43967
Price/Book (MRQ),3.12388
Price/Cash Flow (TTM),5.82341
5yr Low,33.25
5yr High,164.63
5yr Avg Return,0.07341666666666666
EPS Growth 5yr,0.4766803
Revenue Growth 5yr,0.1781747
Dividend Growth 5yr,0.1584797
Short Int Current Month,1183935.0
Short Int Prev Month,1466297.0
Short Int Pct of Float,0.0335367
Days to Cover,2.3765
Float,35.3108
Shares Outstanding,38.83772
Institutions Holding Shares,488.0
% Held by Institutions,0.8317990000000001
FCF Growth 5yr,-1.2539651498194888
