,RCII
Price/Earnings (TTM),74.87097
Price/Sales (TTM),0.28097
Price/Book (MRQ),2.36305
Price/Cash Flow (TTM),7.33477
5yr Low,7.22
5yr High,67.76
5yr Avg Return,0.21156666666666663
EPS Growth 5yr,
Revenue Growth 5yr,0.0911509
Dividend Growth 5yr,0.20902729999999997
Short Int Current Month,6055087.0
Short Int Prev Month,6619316.0
Short Int Pct of Float,0.12253069999999999
Days to Cover,8.76038
Float,49.52157
Shares Outstanding,55.67005
Institutions Holding Shares,288.0
% Held by Institutions,0.853554
FCF Growth 5yr,0.11506445907487572
