,RCII
% Above Low,0.3097
% Held by Institutions,0.8536
52-Wk Range,['16.82 - 51.98']
Annual Dividend $,1.36
Annual Dividend %,0.060899999999999996
Ask,22.03
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,21.98
Bid Size,100.0
Day Change $,-0.3101
Day Change %,-0.0139
Day High,22.32
Day Low,21.8
Dividend Pay Date,2022-10-25 00:00:00
"EPS (TTM, GAAP)",0.3
Ex-dividend,2022-10-03 00:00:00
Ex-dividend Date,10/03/22
Historical Volatility,0.669
Last (size),349.0
Last (time),12:22p ET 11/28/22
Market Cap,1.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",74.87
Prev Close,22.34
Price,22.03
Shares Outstanding,55.7M
Short Interest,0.1225
Today's Open,22.14
Volume Past Day,(Below Average)
