,ROAD
% Below High,0.2341
% Held by Institutions,0.9612
52-Wk Range,['18.89 - 36.92']
Annual Dividend $,
Annual Dividend %,
Ask,28.39
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,0.9
Bid,28.23
Bid Size,300.0
Day Change $,-1.0
Day Change %,-0.0342
Day High,29.55
Day Low,28.2
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.41
Ex-dividend Date,No dividend
Historical Volatility,0.528
Last (size),330.0
Last (time),1:02p ET 11/28/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",71.29
Prev Close,29.28
Price,28.28
Shares Outstanding,52.7M
Short Interest,0.0269
Today's Open,29.07
Volume Past Day,(Average)
