,ROAD
Price/Earnings (TTM),71.29465
Price/Sales (TTM),1.18524
Price/Book (MRQ),3.3749
Price/Cash Flow (TTM),16.86982
5yr Low,7.7
5yr High,44.99
5yr Avg Return,0.25451999999999997
EPS Growth 5yr,-0.0434382
Revenue Growth 5yr,0.1803162
Dividend Growth 5yr,
Short Int Current Month,1025242.0
Short Int Prev Month,1350458.0
Short Int Pct of Float,0.0269063
Days to Cover,6.05609
Float,38.18065
Shares Outstanding,52.69111
Institutions Holding Shares,208.0
% Held by Institutions,0.961168
FCF Growth 5yr,0.6067728546775016
