,ROAD
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.5714285714285716
Growth 1yr High Est,0.6222222222222222
Growth 1yr Consensus Est,0.5968253968253969
Growth 2yr Low Est,0.4311688311688312
Growth 2yr High Est,0.5508371385083715
Growth 2yr Consensus Est,0.49100298483860133
Growth 5yr Low Est,0.08882385220413391
Growth 5yr High Est,0.16782363254532498
Growth 5yr Consensus Est,0.12832374237472943
Growth 5yr Actual/Est,0.13743941525953718
Growth 3yr Historic,-0.11217948717948723
