,RMD
% Above Low,0.19210000000000002
% Held by Institutions,0.6639
52-Wk Range,['189.40 - 268.77']
Annual Dividend $,1.76
Annual Dividend %,0.0077
Ask,225.93
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,225.58
Bid Size,100.0
Day Change $,-4.13
Day Change %,-0.018000000000000002
Day High,230.61
Day Low,225.59
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.35
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.32799999999999996
Last (size),33.0
Last (time),12:58p ET 11/28/22
Market Cap,33.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",43.0
Prev Close,229.92
Price,225.79
Shares Outstanding,146.5M
Short Interest,0.0074
Today's Open,229.03
Volume Past Day,(Light)
