,RMD
Price/Earnings (TTM),42.99989
Price/Sales (TTM),9.29243
Price/Book (MRQ),9.8092
Price/Cash Flow (TTM),35.71219
5yr Low,82.81
5yr High,301.34
5yr Avg Return,0.1971166666666667
EPS Growth 5yr,0.171451
Revenue Growth 5yr,0.1160255
Dividend Growth 5yr,0.0494145
Short Int Current Month,1074496.0
Short Int Prev Month,1305459.0
Short Int Pct of Float,0.0074387
Days to Cover,1.95959
Float,144.5759
Shares Outstanding,146.4836
Institutions Holding Shares,993.0
% Held by Institutions,0.663916
FCF Growth 5yr,0.05578892145157203
