,OIS
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.75
Growth 1yr High Est,-0.8194444444444444
Growth 1yr Consensus Est,-0.7847222222222222
Growth 2yr Low Est,-1.5
Growth 2yr High Est,-2.294337606837607
Growth 2yr Consensus Est,-1.8971688034188035
Growth 5yr Low Est,-0.6825396825396824
Growth 5yr High Est,-1.0569210881710882
Growth 5yr Consensus Est,-0.8697303853553853
Growth 5yr Actual/Est,-0.7890836241589636
Growth 3yr Historic,0.11140979689366792
