,OIS
Price/Earnings (TTM),
Price/Sales (TTM),0.60087
Price/Book (MRQ),0.62088
Price/Cash Flow (TTM),11.03853
5yr Low,1.52
5yr High,38.95
5yr Avg Return,-0.08593333333333332
EPS Growth 5yr,
Revenue Growth 5yr,-0.0376615
Dividend Growth 5yr,
Short Int Current Month,2153552.0
Short Int Prev Month,2407541.0
Short Int Pct of Float,0.0347052
Days to Cover,2.70131
Float,62.05591
Shares Outstanding,63.90214
Institutions Holding Shares,214.0
% Held by Institutions,0.8929290000000001
FCF Growth 5yr,-0.27259327469183076
