,OIS
% Below High,0.2738
% Held by Institutions,0.8929
52-Wk Range,['3.51 - 9.02']
Annual Dividend $,
Annual Dividend %,
Ask,6.57
Ask Size,800.0
B/A Ratio,0.875
B/A Size,700x800
Beta,3.1
Bid,6.0
Bid Size,700.0
Change Since Close,-0.55| |(-8.40%)
Closing Price,6.55
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.54
Ex-dividend Date,No dividend
Historical Volatility,0.721
Last (size),2.0
Last (time),5:00p ET 11/25/22
Last Trade,6.0
Market Cap,419.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,6.55
Shares Outstanding,63.9M
Short Interest,0.0347
Today's Open,
Volume,813.0
Volume 10-day Avg,562303.0
Volume Past Day,(Light)
