,HCA
Price/Earnings (TTM),13.51686
Price/Sales (TTM),1.13167
Price/Book (MRQ),
Price/Cash Flow (TTM),7.40415
5yr Low,58.38
5yr High,279.02
5yr Avg Return,0.2262833333333333
EPS Growth 5yr,0.2371575
Revenue Growth 5yr,0.07205199999999999
Dividend Growth 5yr,
Short Int Current Month,3199447.0
Short Int Prev Month,3396178.0
Short Int Pct of Float,0.015217099999999999
Days to Cover,2.39451
Float,210.7729
Shares Outstanding,282.7167
Institutions Holding Shares,1201.0
% Held by Institutions,0.658613
FCF Growth 5yr,0.6843929702394087
