,HCA
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-0.011904761904761862
Growth 1yr High Est,-0.12805181863477832
Growth 1yr Consensus Est,-0.0699782902697701
Growth 2yr Low Est,0.022059667240390102
Growth 2yr High Est,-0.020883052174532013
Growth 2yr Consensus Est,0.0005883075329290444
Growth 5yr Low Est,0.16879682391145717
Growth 5yr High Est,0.21068523447611426
Growth 5yr Consensus Est,0.18974102919378572
Growth 5yr Actual/Est,0.16388118321990922
Growth 3yr Historic,0.15325889011935523
