,ATUS
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.5480225988700564
Growth 1yr High Est,-0.39449541284403666
Growth 1yr Consensus Est,-0.47125900585704655
Growth 2yr Low Est,-0.6052612994350282
Growth 2yr High Est,-0.12149013066444264
Growth 2yr Consensus Est,-0.3633757150497354
Growth 5yr Low Est,-0.6052612994350282
Growth 5yr High Est,-0.12149013066444264
Growth 5yr Consensus Est,-0.3633757150497354
Growth 5yr Actual/Est,0.9244883301191711
Growth 3yr Historic,1.1061904761904762
