,ATUS
Price/Earnings (TTM),3.34107
Price/Sales (TTM),0.21574
Price/Book (MRQ),
Price/Cash Flow (TTM),0.85899
5yr Low,3.94
5yr High,38.3
5yr Avg Return,-0.05215000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.10893599999999999
Dividend Growth 5yr,
Short Int Current Month,36689080.0
Short Int Prev Month,47624870.0
Short Int Pct of Float,0.09449339999999999
Days to Cover,4.54951
Float,212.4236
Shares Outstanding,454.6684
Institutions Holding Shares,386.0
% Held by Institutions,0.559053
FCF Growth 5yr,0.12960455594549303
