,ATUS
% Above Low,0.1802
% Held by Institutions,0.5590999999999999
52-Wk Range,['3.94 - 17.30']
Annual Dividend $,
Annual Dividend %,
Ask,4.75
Ask Size,5000.0
B/A Ratio,0.02
B/A Size,100x5000
Beta,1.4
Bid,4.7
Bid Size,100.0
Closing Price,4.65
Day Change $,-0.05
Day Change %,-0.0106
Day High,4.72
Day Low,4.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.39
Ex-dividend Date,No dividend
Historical Volatility,0.799
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",3.34
Prev Close,4.7
Shares Outstanding,454.7M
Short Interest,0.09449999999999999
Today's Open,4.68
Volume,2464128.0
Volume 10-day Avg,7937845.0
Volume Past Day,(Light)
