,BLK
Price/Earnings (TTM),20.32569
Price/Sales (TTM),5.94417
Price/Book (MRQ),2.98713
Price/Cash Flow (TTM),19.3152
5yr Low,323.98
5yr High,973.16
5yr Avg Return,0.09898333333333334
EPS Growth 5yr,0.1497955
Revenue Growth 5yr,0.0958186
Dividend Growth 5yr,0.1251824
Short Int Current Month,3215519.0
Short Int Prev Month,3564903.0
Short Int Pct of Float,0.021632799999999997
Days to Cover,3.27864
Float,148.6353
Shares Outstanding,150.1956
Institutions Holding Shares,2237.0
% Held by Institutions,0.759764
FCF Growth 5yr,-0.7063729471745734
