,BLK
% Below High,0.2107
% Held by Institutions,0.7598
52-Wk Range,['503.12 - 934.76']
Annual Dividend $,19.52
Annual Dividend %,0.0265
Ask,746.7
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.3
Bid,737.78
Bid Size,500.0
Closing Price,737.78
Day Change $,1.46
Day Change %,0.002
Day High,739.85
Day Low,727.65
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",36.3
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.36700000000000005
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,110.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.33
Prev Close,736.32
Shares Outstanding,150.2M
Short Interest,0.0216
Today's Open,734.46
Volume,301551.0
Volume 10-day Avg,852441.0
Volume Past Day,(Light)
