,AAL
Price/Earnings (TTM),
Price/Sales (TTM),0.20844
Price/Book (MRQ),
Price/Cash Flow (TTM),10.57639
5yr Low,8.25
5yr High,59.08
5yr Avg Return,-0.1552833333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.0573247
Dividend Growth 5yr,
Short Int Current Month,91398791.0
Short Int Prev Month,86494438.0
Short Int Pct of Float,0.14236700000000002
Days to Cover,3.36805
Float,642.2258
Shares Outstanding,649.9009
Institutions Holding Shares,712.0
% Held by Institutions,0.519504
FCF Growth 5yr,0.6968959029250886
