,AAL
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.8464912280701754
Growth 1yr High Est,-0.9957142857142857
Growth 1yr Consensus Est,-0.9211027568922305
Growth 2yr Low Est,-0.9946741854636592
Growth 2yr High Est,-52.83119047619048
Growth 2yr Consensus Est,-26.91293233082707
Growth 5yr Low Est,-1.983139597871887
Growth 5yr High Est,-27.765625875350143
Growth 5yr Consensus Est,-14.874382736611015
Growth 5yr Actual/Est,-3.4518397736683126
Growth 3yr Historic,-1.3964996782029189
