,AAL
% Above Low,0.2445
% Held by Institutions,0.5195000000000001
52-Wk Range,['11.65 - 21.42']
Annual Dividend $,
Annual Dividend %,
Ask,14.52
Ask Size,200.0
B/A Ratio,14.5
B/A Size,2900x200
Beta,1.5
Bid,14.49
Bid Size,2900.0
Closing Price,14.5
Day Change $,0.08
Day Change %,0.0055000000000000005
Day High,14.7
Day Low,14.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.52
Ex-dividend Date,No dividend
Historical Volatility,0.578
Last (size),298.0
Last (time),12:59p ET 11/25/22
Market Cap,9.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,14.42
Shares Outstanding,649.9M
Short Interest,0.1424
Today's Open,14.4
Volume,9903925.0
Volume 10-day Avg,25450420.0
Volume Past Day,(Light)
