,SLB
% Below High,0.1042
% Held by Institutions,0.8371999999999999
52-Wk Range,['27.65 - 56.04']
Annual Dividend $,0.7
Annual Dividend %,0.0138
Ask,50.21
Ask Size,400.0
B/A Ratio,3.0
B/A Size,1200x400
Beta,1.9
Bid,50.2
Bid Size,1200.0
Day Change $,-0.63
Day Change %,-0.0124
Day High,50.83
Day Low,49.09
Dividend Pay Date,2023-01-12 00:00:00
"EPS (TTM, GAAP)",2.07
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.494
Last (size),100.0
Last (time),2:31p ET 11/28/22
Market Cap,71.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.55
Prev Close,50.83
Price,50.2
Shares Outstanding,1.4B
Short Interest,0.0195
Today's Open,49.51
Volume Past Day,(Above Average)
