,SLB
Next Earnings Announcement,2023-01-20 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,0.7154471544715446
Growth 1yr High Est,0.6417910447761195
Growth 1yr Consensus Est,0.678619099623832
Growth 2yr Low Est,0.5046430085153932
Growth 2yr High Est,0.5458955223880597
Growth 2yr Consensus Est,0.5252692654517265
Growth 5yr Low Est,0.22354452584043044
Growth 5yr High Est,0.24777997595913054
Growth 5yr Consensus Est,0.2356622508997805
Growth 5yr Actual/Est,0.3526679967044958
Growth 3yr Historic,0.08623449379751902
