,SLB
Price/Earnings (TTM),24.54891
Price/Sales (TTM),2.72637
Price/Book (MRQ),4.19076
Price/Cash Flow (TTM),13.99552
5yr Low,11.87
5yr High,80.35
5yr Avg Return,0.05168333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.0378632
Dividend Growth 5yr,-0.2421417
Short Int Current Month,27635722.0
Short Int Prev Month,31354332.0
Short Int Pct of Float,0.019525999999999998
Days to Cover,1.90365
Float,1415.814
Shares Outstanding,1418.0
Institutions Holding Shares,1677.0
% Held by Institutions,0.8371609999999999
FCF Growth 5yr,-3.602248132228864
