,CAG
% Below High,0.0012
% Held by Institutions,0.8169
52-Wk Range,['30.06 - 37.17']
Annual Dividend $,1.32
Annual Dividend %,0.0356
Ask,40.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,36.7
Bid Size,100.0
Closing Price,37.12
Day Change $,0.25
Day Change %,0.0068000000000000005
Day High,37.17
Day Low,36.98
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",1.19
Ex-dividend,2022-11-02 00:00:00
Ex-dividend Date,11/02/22
Historical Volatility,0.255
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,17.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.12
Prev Close,36.87
Shares Outstanding,479.3M
Short Interest,0.0189
Today's Open,37.0
Volume,1093461.0
Volume 10-day Avg,3584967.0
Volume Past Day,(Light)
