,CAG
Price/Earnings (TTM),31.11771
Price/Sales (TTM),1.5093
Price/Book (MRQ),2.09188
Price/Cash Flow (TTM),23.00821
5yr Low,20.22
5yr High,39.43
5yr Avg Return,0.05318333333333333
EPS Growth 5yr,0.08402720000000001
Revenue Growth 5yr,0.0806681
Dividend Growth 5yr,0.050005600000000004
Short Int Current Month,9021403.0
Short Int Prev Month,7540822.0
Short Int Pct of Float,0.0189165
Days to Cover,2.38892
Float,477.0416
Shares Outstanding,479.255
Institutions Holding Shares,1069.0
% Held by Institutions,0.816883
FCF Growth 5yr,32.09261859865324
