,CNM
% Above Low,0.06849999999999999
% Held by Institutions,1.1002
52-Wk Range,['19.85 - 32.54']
Annual Dividend $,
Annual Dividend %,
Ask,24.2
Ask Size,800.0
B/A Ratio,1.25
B/A Size,1000x800
Beta,
Bid,20.0
Bid Size,1000.0
Closing Price,21.21
Day Change $,-0.13
Day Change %,-0.0060999999999999995
Day High,21.41
Day Low,21.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.85
Ex-dividend Date,No dividend
Historical Volatility,0.446
Last (size),34.0
Last (time),5:00p ET 11/25/22
Market Cap,3.7B
"P/E Ratio (TTM, GAAP)",11.44
Prev Close,21.34
Shares Outstanding,172.3M
Short Interest,0.1354
Today's Open,21.37
Volume,367930.0
Volume 10-day Avg,593054.0
Volume Past Day,(Light)
