,CNM
Price/Earnings (TTM),11.44377
Price/Sales (TTM),0.85355
Price/Book (MRQ),3.36478
Price/Cash Flow (TTM),7.96373
5yr Low,19.85
5yr High,32.54
5yr Avg Return,0.04545
Short Int Current Month,8218599.0
Short Int Prev Month,6844242.0
Short Int Pct of Float,0.1354348
Days to Cover,10.41443
Float,168.0992
Shares Outstanding,245.8958
Institutions Holding Shares,217.0
% Held by Institutions,1.100195
FCF Growth 5yr,0.07983240481902232
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
