,DAR
% Below High,0.1613
% Held by Institutions,0.9475
52-Wk Range,['55.71 - 87.59']
Annual Dividend $,
Annual Dividend %,
Ask,74.96
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.2
Bid,69.0
Bid Size,200.0
Closing Price,73.46
Day Change $,1.2
Day Change %,0.0166
Day High,73.88
Day Low,72.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.47
Ex-dividend Date,No dividend
Historical Volatility,0.46
Last (size),69.0
Last (time),5:00p ET 11/25/22
Market Cap,11.8B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",16.42
Prev Close,72.26
Shares Outstanding,160.3M
Short Interest,0.0172
Today's Open,72.73
Volume,619086.0
Volume 10-day Avg,1426364.0
Volume Past Day,(Light)
