,DAR
Price/Earnings (TTM),16.42254
Price/Sales (TTM),1.93829
Price/Book (MRQ),3.28849
Price/Cash Flow (TTM),10.6683
5yr Low,10.25
5yr High,87.59
5yr Avg Return,0.31134999999999996
EPS Growth 5yr,0.4445551
Revenue Growth 5yr,0.06928
Dividend Growth 5yr,
Short Int Current Month,2732373.0
Short Int Prev Month,2294700.0
Short Int Pct of Float,0.017229
Days to Cover,1.70521
Float,158.8589
Shares Outstanding,160.2714
Institutions Holding Shares,756.0
% Held by Institutions,0.9475159999999999
FCF Growth 5yr,0.5417774086378738
