,STOK
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.1652542372881356
Growth 1yr High Est,0.1711711711711712
Growth 1yr Consensus Est,0.1682127042296534
Growth 2yr Low Est,0.16262711864406776
Growth 2yr High Est,0.0855855855855856
Growth 2yr Consensus Est,0.12410635211482668
Growth 5yr Low Est,0.26675141242937844
Growth 5yr High Est,0.2137899488892867
Growth 5yr Consensus Est,0.24027068065933258
Growth 5yr Actual/Est,0.15029079108026472
Growth 3yr Historic,0.09166666666666662
