,STOK
% Above Low,0.0346
% Held by Institutions,0.9632
52-Wk Range,['7.08 - 26.60']
Annual Dividend $,
Annual Dividend %,
Ask,7.33
Ask Size,300.0
B/A Ratio,2.3333333333333335
B/A Size,700x300
Beta,0.6
Bid,7.32
Bid Size,700.0
Day Change $,-0.005
Day Change %,-0.0007000000000000001
Day High,7.55
Day Low,7.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.61
Ex-dividend Date,No dividend
Historical Volatility,0.843
Last (size),100.0
Last (time),3:33p ET 11/28/22
Market Cap,289.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.33
Price,7.33
Shares Outstanding,39.4M
Short Interest,0.1143
Today's Open,7.43
Volume Past Day,(Light)
