,STOK
Price/Earnings (TTM),
Price/Sales (TTM),31.6361
Price/Book (MRQ),1.41565
Price/Cash Flow (TTM),
5yr Low,7.17
5yr High,71.58
5yr Avg Return,-0.028549999999999985
Short Int Current Month,4220893.0
Short Int Prev Month,4587919.0
Short Int Pct of Float,0.1142519
Days to Cover,9.53878
Float,36.96508
Shares Outstanding,39.43075
Institutions Holding Shares,156.0
% Held by Institutions,0.963164
FCF Growth 5yr,-1.4325325581277724
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
