,WABC
% Below High,0.0623
% Held by Institutions,0.7748
52-Wk Range,['52.04 - 63.86']
Annual Dividend $,1.68
Annual Dividend %,0.0275
Ask,59.89
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,0.7
Bid,59.8
Bid Size,100.0
Closing Price,59.88
Day Change $,-1.12
Day Change %,-0.0184
Day High,60.85
Day Low,59.69
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",3.88
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.22399999999999998
Last (size),14900.0
Last (time),3:59p ET 11/28/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.71
Prev Close,61.0
Shares Outstanding,26.9M
Short Interest,0.0219
Today's Open,60.72
Volume,104413.0
Volume 10-day Avg,116605.0
Volume Past Day,(Below Average)
