,DSKE
Price/Earnings (TTM),8.39839
Price/Sales (TTM),0.20277
Price/Book (MRQ),2.1667
Price/Cash Flow (TTM),2.64258
5yr Low,0.8574
5yr High,14.52
5yr Avg Return,0.05830000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.1902095
Dividend Growth 5yr,
Short Int Current Month,1426182.0
Short Int Prev Month,1226190.0
Short Int Pct of Float,0.0246443
Days to Cover,3.3957
Float,57.92251
Shares Outstanding,62.80782
Institutions Holding Shares,165.0
% Held by Institutions,0.430158
FCF Growth 5yr,0.4261059018825046
