,DSKE
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-1.1050420168067228
Growth 1yr High Est,-1.1535181236673773
Growth 1yr Consensus Est,-1.12928007023705
Growth 2yr Low Est,-0.14252100840336135
Growth 2yr High Est,-0.33370350627813306
Growth 2yr Consensus Est,-0.2381122573407472
Growth 5yr Low Est,-0.07126050420168067
Growth 5yr High Est,-0.16685175313906653
Growth 5yr Consensus Est,-0.1190561286703736
Growth 5yr Actual/Est,9.218482151207846
Growth 3yr Historic,9.123971193415638
