,UPLD
% Above Low,0.14
% Held by Institutions,0.7698999999999999
52-Wk Range,['6.43 - 21.62']
Annual Dividend $,
Annual Dividend %,
Ask,7.33
Ask Size,500.0
B/A Ratio,2.2
B/A Size,1100x500
Beta,0.8
Bid,7.3
Bid Size,1100.0
Closing Price,7.33
Day Change $,-0.34
Day Change %,-0.0443
Day High,7.67
Day Low,7.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.72
Ex-dividend Date,No dividend
Historical Volatility,0.5760000000000001
Last (size),4.0
Last (time),3:59p ET 11/28/22
Market Cap,232.3M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,7.67
Shares Outstanding,31.8M
Short Interest,0.0444
Today's Open,7.64
Volume,317573.0
Volume 10-day Avg,369152.0
Volume Past Day,(Below Average)
