,UPLD
Price/Earnings (TTM),
Price/Sales (TTM),0.77569
Price/Book (MRQ),0.78894
Price/Cash Flow (TTM),224.2296
5yr Low,6.43
5yr High,54.87
5yr Avg Return,-0.07518333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.3220991
Dividend Growth 5yr,
Short Int Current Month,1199759.0
Short Int Prev Month,1297053.0
Short Int Pct of Float,0.0444475
Days to Cover,2.4278
Float,27.25747
Shares Outstanding,31.77804
Institutions Holding Shares,178.0
% Held by Institutions,0.769859
FCF Growth 5yr,0.3313611072955279
