,GDDY
Price/Earnings (TTM),35.91007
Price/Sales (TTM),2.89786
Price/Book (MRQ),
Price/Cash Flow (TTM),21.78449
5yr Low,40.25
5yr High,93.75
5yr Avg Return,0.07721666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.1560567
Dividend Growth 5yr,
Short Int Current Month,2580459.0
Short Int Prev Month,2694187.0
Short Int Pct of Float,0.0166735
Days to Cover,1.826
Float,154.7595
Shares Outstanding,155.378
Institutions Holding Shares,633.0
% Held by Institutions,0.9684130000000001
FCF Growth 5yr,0.31143915948960804
