,GDDY
% Above Low,0.1743
% Held by Institutions,0.9684
52-Wk Range,['64.65 - 88.32']
Annual Dividend $,
Annual Dividend %,
Ask,84.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,57.62
Bid Size,100.0
Closing Price,75.92
Day Change $,0.57
Day Change %,0.0076
Day High,76.36
Day Low,74.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.11
Ex-dividend Date,No dividend
Historical Volatility,0.39
Last (size),23.0
Last (time),5:00p ET 11/25/22
Market Cap,11.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",35.91
Prev Close,75.35
Shares Outstanding,155.1M
Short Interest,0.0167
Today's Open,74.91
Volume,368010.0
Volume 10-day Avg,723155.0
Volume Past Day,(Light)
