,GDDY
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-1.6645569620253164
Growth 1yr High Est,-1.8131487889273357
Growth 1yr Consensus Est,-1.7388528754763262
Growth 2yr Low Est,-0.8822784810126583
Growth 2yr High Est,-0.6235956710594125
Growth 2yr Consensus Est,-0.7529370760360354
Growth 5yr Low Est,-2.077104152787031
Growth 5yr High Est,-1.32232415131918
Growth 5yr Consensus Est,-1.6997141520531054
Growth 5yr Actual/Est,-1.3907021857487811
Growth 3yr Historic,-1.5878535624776227
