,TOL
Price/Earnings (TTM),5.53457
Price/Sales (TTM),0.55244
Price/Book (MRQ),0.96067
Price/Cash Flow (TTM),4.8419
5yr Low,13.28
5yr High,75.61
5yr Avg Return,0.04439999999999999
EPS Growth 5yr,0.2489911
Revenue Growth 5yr,0.1120172
Dividend Growth 5yr,
Short Int Current Month,3787513.0
Short Int Prev Month,4946865.0
Short Int Pct of Float,0.0359417
Days to Cover,2.5416
Float,105.3039
Shares Outstanding,113.33
Institutions Holding Shares,507.0
% Held by Institutions,0.838887
FCF Growth 5yr,-0.3946841982396861
