,LSCC
Price/Earnings (TTM),62.42535
Price/Sales (TTM),15.10039
Price/Book (MRQ),21.40117
Price/Cash Flow (TTM),51.50488
5yr Low,5.05
5yr High,85.45
5yr Avg Return,0.6354
EPS Growth 5yr,
Revenue Growth 5yr,0.0382932
Dividend Growth 5yr,
Short Int Current Month,6551122.0
Short Int Prev Month,5818535.0
Short Int Pct of Float,0.048639999999999996
Days to Cover,2.94143
Float,134.6825
Shares Outstanding,137.0594
Institutions Holding Shares,479.0
% Held by Institutions,0.994499
FCF Growth 5yr,0.37432954076971486
