,BAX
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.005617977528089901
Growth 1yr High Est,-0.021798365122615793
Growth 1yr Consensus Est,-0.013708171325352847
Growth 2yr Low Est,0.002840728750079402
Growth 2yr High Est,0.008599424681031975
Growth 2yr Consensus Est,0.005720076715555689
Growth 5yr Low Est,0.0214954854583648
Growth 5yr High Est,0.021939564397843753
Growth 5yr Consensus Est,0.021717524928104276
Growth 5yr Actual/Est,0.027586760893428125
Growth 3yr Historic,0.025454883211607437
