,BAX
Price/Earnings (TTM),
Price/Sales (TTM),1.91525
Price/Book (MRQ),5.09963
Price/Cash Flow (TTM),
5yr Low,49.83
5yr High,95.19
5yr Avg Return,-0.012533333333333339
EPS Growth 5yr,-0.2245223
Revenue Growth 5yr,0.0469573
Dividend Growth 5yr,0.165273
Short Int Current Month,5092907.0
Short Int Prev Month,6633754.0
Short Int Pct of Float,0.010125
Days to Cover,1.0875
Float,503.132
Shares Outstanding,504.1208
Institutions Holding Shares,1355.0
% Held by Institutions,0.877309
FCF Growth 5yr,0.4247110620816183
