,NFBK
% Below High,0.0971
% Held by Institutions,0.5802
52-Wk Range,['11.87 - 17.50']
Annual Dividend $,0.52
Annual Dividend %,0.0329
Ask,18.39
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.7
Bid,5.85
Bid Size,200.0
Closing Price,15.8
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",1.35
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.237
Last (size),20.0
Last (time),1:00p ET 11/25/22
Market Cap,754.8M
"P/E Ratio (TTM, GAAP)",11.74
Prev Close,15.8
Shares Outstanding,47.8M
Short Interest,0.0143
Today's Open,
Volume,75177.0
Volume 10-day Avg,104344.0
Volume Past Day,(Light)
