,CPSI
Price/Earnings (TTM),22.927
Price/Sales (TTM),1.33608
Price/Book (MRQ),1.82627
Price/Cash Flow (TTM),10.48929
5yr Low,16.93
5yr High,37.62
5yr Avg Return,-0.0016166666666666638
EPS Growth 5yr,0.3376869
Revenue Growth 5yr,0.009800999999999999
Dividend Growth 5yr,
Short Int Current Month,279780.0
Short Int Prev Month,263934.0
Short Int Pct of Float,0.0201952
Days to Cover,2.92256
Float,13.90146
Shares Outstanding,14.51414
Institutions Holding Shares,218.0
% Held by Institutions,0.912242
FCF Growth 5yr,0.025740975753173762
