,CPSI
% Above Low,0.1535
% Held by Institutions,0.9122
52-Wk Range,['25.33 - 35.50']
Annual Dividend $,
Annual Dividend %,
Ask,36.33
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.7
Bid,11.7
Bid Size,200.0
Closing Price,29.22
Day Change $,0.08
Day Change %,0.0027
Day High,29.41
Day Low,29.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.27
Ex-dividend Date,No dividend
Historical Volatility,0.365
Last (size),7.0
Last (time),12:59p ET 11/25/22
Market Cap,424.7M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.93
Prev Close,29.14
Shares Outstanding,14.5M
Short Interest,0.0202
Today's Open,29.03
Volume,18057.0
Volume 10-day Avg,66497.0
Volume Past Day,(Light)
