,BANC
Price/Earnings (TTM),10.66902
Price/Sales (TTM),3.08411
Price/Book (MRQ),1.07171
Price/Cash Flow (TTM),8.2715
5yr Low,6.44
5yr High,23.4
5yr Avg Return,-0.009933333333333336
EPS Growth 5yr,-0.0672265
Revenue Growth 5yr,-0.0463888
Dividend Growth 5yr,
Short Int Current Month,968497.0
Short Int Prev Month,1219639.0
Short Int Pct of Float,0.0175135
Days to Cover,3.27018
Float,55.29886
Shares Outstanding,60.15908
Institutions Holding Shares,231.0
% Held by Institutions,0.9525830000000001
FCF Growth 5yr,4.695073236740689
