,BANC
% Above Low,0.0956
% Held by Institutions,0.9526
52-Wk Range,['15.48 - 22.01']
Annual Dividend $,0.24
Annual Dividend %,0.014199999999999999
Ask,17.07
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.3
Bid,16.03
Bid Size,100.0
Closing Price,16.96
Day Change $,0.06
Day Change %,0.0036
Day High,17.09
Day Low,16.96
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",1.59
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.322
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,1.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.67
Prev Close,16.9
Shares Outstanding,60.2M
Short Interest,0.0175
Today's Open,17.01
Volume,89266.0
Volume 10-day Avg,224415.0
Volume Past Day,(Light)
