,KBH
% Above Low,0.2454
% Held by Institutions,0.8697
52-Wk Range,['24.78 - 50.20']
Annual Dividend $,0.6
Annual Dividend %,0.0194
Ask,39.98
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,25.2
Bid Size,100.0
Closing Price,30.86
Day Change $,-0.05
Day Change %,-0.0016
Day High,30.92
Day Low,30.58
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",8.56
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.501
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.61
Prev Close,30.91
Shares Outstanding,85.6M
Short Interest,0.08470000000000001
Today's Open,30.62
Volume,235782.0
Volume 10-day Avg,1260243.0
Volume Past Day,(Light)
