,KBH
Next Earnings Announcement,2023-01-11 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.596551724137931
Growth 1yr High Est,0.6103678929765886
Growth 1yr Consensus Est,0.6034598085572598
Growth 2yr Low Est,0.0450361212482312
Growth 2yr High Est,0.2652047149202776
Growth 2yr Consensus Est,0.1551204180842544
Growth 5yr Low Est,0.35251806062411556
Growth 5yr High Est,0.3999033955224226
Growth 5yr Consensus Est,0.37621072807326905
Growth 5yr Actual/Est,0.33284790712426815
Growth 3yr Historic,0.254593352390561
