,GOGO
Price/Earnings (TTM),10.57943
Price/Sales (TTM),5.19632
Price/Book (MRQ),
Price/Cash Flow (TTM),7.02404
5yr Low,1.33
5yr High,23.69
5yr Avg Return,0.26098333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.1086156
Dividend Growth 5yr,
Short Int Current Month,4408264.0
Short Int Prev Month,5778550.0
Short Int Pct of Float,0.0692012
Days to Cover,6.05867
Float,95.44713
Shares Outstanding,127.2703
Institutions Holding Shares,230.0
% Held by Institutions,0.628606
FCF Growth 5yr,0.4180707835961835
