,GOGO
% Above Low,0.3699
% Held by Institutions,0.6286
52-Wk Range,['11.57 - 23.69']
Annual Dividend $,
Annual Dividend %,
Ask,15.85
Ask Size,6500.0
B/A Ratio,0.015384615384615385
B/A Size,100x6500
Beta,1.3
Bid,15.27
Bid Size,100.0
Closing Price,15.85
Day Change $,-0.01
Day Change %,-0.0006
Day High,15.9
Day Low,15.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.5
Ex-dividend Date,No dividend
Historical Volatility,0.485
Last (size),22.0
Last (time),1:00p ET 11/25/22
Market Cap,2.0B
"P/E Ratio (TTM, GAAP)",10.58
Prev Close,15.86
Shares Outstanding,127.3M
Short Interest,0.0692
Today's Open,15.8
Volume,342113.0
Volume 10-day Avg,641724.0
Volume Past Day,(Light)
