,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 1/2020,Negative Surprise,3.56,,,,,,,4.1,3.56,,
Year ending 1/2021,Positive Surprise,-2.78,,-1.7808988764044944,,,,,-3.8,-2.78,-1.7808988764044944,
Year ending 1/2022,Negative Surprise,20.6,,-8.410071942446045,,,,,38.67,20.6,-8.410071942446045,
Year ending 1/2023,Neutral,,45.92,0.0,41.6,,50.23,,45.92,45.92,1.2291262135922327,
Year ending 1/2024,Neutral,,26.8,0.0,14.6,-0.6490384615384616,38.65,-0.23053951821620544,26.8,26.8,-0.4163763066202091,-0.4397889898773335
