,DDS
Price/Earnings (TTM),7.43492
Price/Sales (TTM),0.92221
Price/Book (MRQ),4.93511
Price/Cash Flow (TTM),5.75981
5yr Low,21.5
5yr High,416.71
5yr Avg Return,0.5870166666666666
EPS Growth 5yr,0.5339037
Revenue Growth 5yr,0.0063463999999999994
Dividend Growth 5yr,0.20112439999999998
Short Int Current Month,1500643.0
Short Int Prev Month,1440245.0
Short Int Pct of Float,0.1695049
Days to Cover,7.49594
Float,5.1532
Shares Outstanding,17.13592
Institutions Holding Shares,284.0
% Held by Institutions,0.734085
FCF Growth 5yr,0.018746197065584003
