,DDS
% Below High,0.0378
% Held by Institutions,0.7341
52-Wk Range,['193.00 - 390.80']
Annual Dividend $,0.8
Annual Dividend %,0.0021
Ask,387.13
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.8
Bid,355.0
Bid Size,400.0
Closing Price,376.03
Day Change $,2.36
Day Change %,0.0063
Day High,377.89
Day Low,368.31
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",50.58
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.713
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,6.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.43
Prev Close,373.67
Shares Outstanding,17.1M
Short Interest,0.16949999999999998
Today's Open,371.94
Volume,55123.0
Volume 10-day Avg,205447.0
Volume Past Day,(Light)
