,LYB
% Above Low,0.2145
% Held by Institutions,0.7015
52-Wk Range,['71.46 - 117.22']
Annual Dividend $,4.76
Annual Dividend %,0.0548
Ask,86.74
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,85.32
Bid Size,100.0
Change Since Close,-0.36| |(-0.41%)
Closing Price,86.79
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-05 00:00:00
"EPS (TTM, GAAP)",12.93
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.349
Last (size),8.0
Last (time),5:00p ET 11/25/22
Last Trade,86.43
Market Cap,28.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.71
Prev Close,86.79
Shares Outstanding,325.6M
Short Interest,0.026099999999999998
Today's Open,
Volume,9.0
Volume 10-day Avg,2262213.0
Volume Past Day,(Light)
