,LYB
Price/Earnings (TTM),6.70976
Price/Sales (TTM),0.53247
Price/Book (MRQ),2.31817
Price/Cash Flow (TTM),5.06469
5yr Low,33.71
5yr High,121.95
5yr Avg Return,-0.025549999999999993
EPS Growth 5yr,0.1294695
Revenue Growth 5yr,0.0961037
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,6657662.0
Short Int Prev Month,5606349.0
Short Int Pct of Float,0.0261388
Days to Cover,2.56085
Float,254.7626
Shares Outstanding,325.6244
Institutions Holding Shares,1155.0
% Held by Institutions,0.7015399999999999
FCF Growth 5yr,0.2179242850711025
