,DGX
% Below High,0.1441
% Held by Institutions,0.9172
52-Wk Range,['120.40 - 174.16']
Annual Dividend $,2.64
Annual Dividend %,0.0177
Ask,153.5
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.0
Bid,146.77
Bid Size,100.0
Closing Price,149.06
Day Change $,0.6
Day Change %,0.004
Day High,149.7
Day Low,147.59
Dividend Pay Date,2023-02-01 00:00:00
"EPS (TTM, GAAP)",10.15
Ex-dividend,2023-01-17 00:00:00
Ex-dividend Date,01/17/23
Historical Volatility,0.264
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,17.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.69
Prev Close,148.46
Shares Outstanding,113.9M
Short Interest,0.046900000000000004
Today's Open,148.88
Volume,459112.0
Volume 10-day Avg,1137511.0
Volume Past Day,(Light)
