,DGX
Price/Earnings (TTM),14.68841
Price/Sales (TTM),1.64912
Price/Book (MRQ),2.7254
Price/Cash Flow (TTM),10.14708
5yr Low,73.02
5yr High,174.16
5yr Avg Return,0.10425
EPS Growth 5yr,0.2799467
Revenue Growth 5yr,0.074985
Dividend Growth 5yr,0.0890095
Short Int Current Month,5291723.0
Short Int Prev Month,5014577.0
Short Int Pct of Float,0.0468511
Days to Cover,4.3598
Float,113.071
Shares Outstanding,113.8875
Institutions Holding Shares,1176.0
% Held by Institutions,0.917176
FCF Growth 5yr,0.17548904018236774
