,CWT
Price/Earnings (TTM),
Price/Sales (TTM),4.38755
Price/Book (MRQ),2.82115
Price/Cash Flow (TTM),34.50292
5yr Low,35.25
5yr High,72.08
5yr Avg Return,0.07400000000000001
EPS Growth 5yr,-0.2874727
Revenue Growth 5yr,0.0535353
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,871530.0
Short Int Prev Month,1160155.0
Short Int Pct of Float,0.0160484
Days to Cover,4.03529
Float,54.30277
Shares Outstanding,54.824
Institutions Holding Shares,380.0
% Held by Institutions,0.83025
FCF Growth 5yr,0.48745574519031226
