,CWT
% Below High,0.0909
% Held by Institutions,0.8303
52-Wk Range,['48.46 - 72.08']
Annual Dividend $,1.0
Annual Dividend %,0.015300000000000001
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.4
Bid,26.38
Bid Size,
Closing Price,65.53
Day Change $,0.41
Day Change %,0.0063
Day High,66.12
Day Low,64.74
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",-0.24
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.278
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,3.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,65.12
Shares Outstanding,54.8M
Short Interest,0.016
Today's Open,65.34
Volume,172211.0
Volume 10-day Avg,207417.0
Volume Past Day,(Below Average)
