,ALKT
% Above Low,0.2817
% Held by Institutions,0.561
52-Wk Range,['9.23 - 29.07']
Annual Dividend $,
Annual Dividend %,
Ask,14.0
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,
Bid,11.35
Bid Size,200.0
Closing Price,11.83
Day Change $,-0.07
Day Change %,-0.0059
Day High,11.96
Day Low,11.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.74
Ex-dividend Date,No dividend
Historical Volatility,0.621
Last (size),17.0
Last (time),12:59p ET 11/25/22
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,11.9
Shares Outstanding,91.5M
Short Interest,0.030600000000000002
Today's Open,11.81
Volume,111332.0
Volume 10-day Avg,221273.0
Volume Past Day,(Light)
